Cell:,AO332x1_ASAP7_75t_R,Width:,27,HPWL:,91.00
Name,X,Y,Orient,Row,Flipped
MM5,0.000,1.0,MX_R180,PMOS,True
MM4,0.162,1.0,MX,PMOS,False
MM8,0.324,1.0,MX,PMOS,False
MM9,0.486,1.0,MX_R180,PMOS,True
MM11,0.000,0.0,MY,NMOS,True
MM7,0.648,1.0,MX,PMOS,False
MM6,0.810,1.0,MX,PMOS,False
MM1,0.972,1.0,MX,PMOS,False
MM10,0.162,0.0,MY,NMOS,True
MM17,0.324,0.0,R0,NMOS,False
MM0,1.134,1.0,MX_R180,PMOS,True
MM12,0.486,0.0,R0,NMOS,False
MM15,1.296,1.0,MX,PMOS,False
MM16,0.648,0.0,MY,NMOS,True
MM14,0.810,0.0,MY,NMOS,True
MM2,0.972,0.0,MY,NMOS,True
MM13,1.134,0.0,R0,NMOS,False
MM3,1.296,0.0,R0,NMOS,False
